mean_rh,_id,month
75.2,459,2020-03
76,458,2020-02
77.9,457,2020-01
83.9,456,2019-12
79.2,455,2019-11
78.1,454,2019-10
73,453,2019-09
72.1,452,2019-08
75.2,451,2019-07
79.5,450,2019-06
79.2,449,2019-05
77.6,448,2019-04
72.3,447,2019-03
74.1,446,2019-02
75.6,445,2019-01
81.5,444,2018-12
83.2,443,2018-11
79.7,442,2018-10
77.1,441,2018-09
77,440,2018-08
77.7,439,2018-07
79.3,438,2018-06
79,437,2018-05
78.5,436,2018-04
78.4,435,2018-03
77.2,434,2018-02
86.6,433,2018-01
85.2,432,2017-12
86.3,431,2017-11
82.5,430,2017-10
81,429,2017-09
79.9,428,2017-08
79.6,427,2017-07
80.2,426,2017-06
82.8,425,2017-05
83.5,424,2017-04
82.5,423,2017-03
83.2,422,2017-02
84.8,421,2017-01
72.8,420,2016-12
77.6,419,2016-11
72,418,2016-10
73.9,417,2016-09
74,416,2016-08
77.3,415,2016-07
77.7,414,2016-06
77.4,413,2016-05
75.6,412,2016-04
74.7,411,2016-03
78.8,410,2016-02
79.6,409,2016-01
81.1,408,2015-12
79.1,407,2015-11
75.4,406,2015-10
75,405,2015-09
76.7,404,2015-08
74.9,403,2015-07
75.8,402,2015-06
78.9,401,2015-05
77.1,400,2015-04
75.8,399,2015-03
75.4,398,2015-02
77.6,397,2015-01
82.6,396,2014-12
82.4,395,2014-11
77,394,2014-10
75.6,393,2014-09
79.7,392,2014-08
78.3,391,2014-07
77.5,390,2014-06
80.2,389,2014-05
80,388,2014-04
76,387,2014-03
74.5,386,2014-02
78.5,385,2014-01
85.8,384,2013-12
84.6,383,2013-11
79.9,382,2013-10
81.3,381,2013-09
79,380,2013-08
79.9,379,2013-07
74.6,378,2013-06
83.1,377,2013-05
82.7,376,2013-04
80.4,375,2013-03
86.9,374,2013-02
82.1,373,2013-01
87,372,2012-12
85.4,371,2012-11
81.3,370,2012-10
79.7,369,2012-09
79.8,368,2012-08
81.1,367,2012-07
79,366,2012-06
83.1,365,2012-05
85.1,364,2012-04
87.3,363,2012-03
85.6,362,2012-02
87.3,361,2012-01
88.4,360,2011-12
87.8,359,2011-11
87.4,358,2011-10
82.7,357,2011-09
82.6,356,2011-08
81.3,355,2011-07
83.7,354,2011-06
85.3,353,2011-05
83.9,352,2011-04
85.5,351,2011-03
81.1,350,2011-02
85.8,349,2011-01
85.3,348,2010-12
85.9,347,2010-11
82.3,346,2010-10
82.5,345,2010-09
84.2,344,2010-08
84.8,343,2010-07
83.9,342,2010-06
82.2,341,2010-05
84.1,340,2010-04
79.9,339,2010-03
77.3,338,2010-02
82.1,337,2010-01
86.3,336,2009-12
85.6,335,2009-11
82.8,334,2009-10
82,333,2009-09
80.7,332,2009-08
80.8,331,2009-07
79.8,330,2009-06
83,329,2009-05
82.2,328,2009-04
85.4,327,2009-03
80.7,326,2009-02
79.1,325,2009-01
83.7,324,2008-12
85.9,323,2008-11
84.9,322,2008-10
82.7,321,2008-09
83.8,320,2008-08
81.3,319,2008-07
81.5,318,2008-06
79.1,317,2008-05
82,316,2008-04
87.1,315,2008-03
82.9,314,2008-02
86,313,2008-01
86.8,312,2007-12
86.5,311,2007-11
83.2,310,2007-10
83.3,309,2007-09
82.9,308,2007-08
84.8,307,2007-07
82.8,306,2007-06
84.8,305,2007-05
84.7,304,2007-04
84.9,303,2007-03
82.5,302,2007-02
86.8,301,2007-01
88.5,300,2006-12
87.4,299,2006-11
80.9,298,2006-10
81,297,2006-09
81.9,296,2006-08
83.8,295,2006-07
86.3,294,2006-06
85.2,293,2006-05
87,292,2006-04
81.3,291,2006-03
84,290,2006-02
87.8,289,2006-01
85.6,288,2005-12
86.4,287,2005-11
85.2,286,2005-10
84.2,285,2005-09
82.9,284,2005-08
84,283,2005-07
82.7,282,2005-06
84.6,281,2005-05
81,280,2005-04
80.3,279,2005-03
77.7,278,2005-02
83.3,277,2005-01
85.2,276,2004-12
86.1,275,2004-11
83.9,274,2004-10
83.6,273,2004-09
80.3,272,2004-08
85.3,271,2004-07
79.8,270,2004-06
82.1,269,2004-05
82.3,268,2004-04
85.8,267,2004-03
80.5,266,2004-02
86.7,265,2004-01
87.2,264,2003-12
87.3,263,2003-11
84.9,262,2003-10
84.8,261,2003-09
83.1,260,2003-08
81.7,259,2003-07
78.5,258,2003-06
81.7,257,2003-05
86.7,256,2003-04
83.8,255,2003-03
85,254,2003-02
86.9,253,2003-01
88.7,252,2002-12
85.8,251,2002-11
79.8,250,2002-10
81.7,249,2002-09
79.2,248,2002-08
82.7,247,2002-07
82.1,246,2002-06
82.3,245,2002-05
82.3,244,2002-04
80.8,243,2002-03
80.9,242,2002-02
83.6,241,2002-01
86.8,240,2001-12
84.9,239,2001-11
83.7,238,2001-10
82.3,237,2001-09
83.7,236,2001-08
80.8,235,2001-07
82.5,234,2001-06
85,233,2001-05
86,232,2001-04
84.5,231,2001-03
83.6,230,2001-02
87.4,229,2001-01
87.6,228,2000-12
87.1,227,2000-11
82.1,226,2000-10
82.2,225,2000-09
83.8,224,2000-08
82.6,223,2000-07
84.3,222,2000-06
82.4,221,2000-05
85.6,220,2000-04
85.8,219,2000-03
86.5,218,2000-02
86.9,217,2000-01
85.3,216,1999-12
84.4,215,1999-11
84.6,214,1999-10
81.7,213,1999-09
84.1,212,1999-08
82.7,211,1999-07
81.9,210,1999-06
84.4,209,1999-05
82.6,208,1999-04
87.5,207,1999-03
82.4,206,1999-02
88.3,205,1999-01
88.5,204,1998-12
81.9,203,1998-11
82.3,202,1998-10
84.1,201,1998-09
85.4,200,1998-08
81.8,199,1998-07
82.1,198,1998-06
82.3,197,1998-05
81.8,196,1998-04
77.8,195,1998-03
78.3,194,1998-02
83.2,193,1998-01
85.3,192,1997-12
82.8,191,1997-11
81,190,1997-10
77,189,1997-09
78.2,188,1997-08
76.5,187,1997-07
76.7,186,1997-06
77.7,185,1997-05
82.7,184,1997-04
79.6,183,1997-03
80.8,182,1997-02
77.3,181,1997-01
82.9,180,1996-12
83.5,179,1996-11
83,178,1996-10
82.2,177,1996-09
83.4,176,1996-08
81.9,175,1996-07
84.3,174,1996-06
83.7,173,1996-05
85.5,172,1996-04
81,171,1996-03
84.6,170,1996-02
84.2,169,1996-01
86.6,168,1995-12
86.8,167,1995-11
82.8,166,1995-10
81.6,165,1995-09
85.6,164,1995-08
82.6,163,1995-07
81.9,162,1995-06
83.7,161,1995-05
85.3,160,1995-04
83.9,159,1995-03
87.5,158,1995-02
86.2,157,1995-01
85.5,156,1994-12
88.4,155,1994-11
81.5,154,1994-10
78.7,153,1994-09
80,152,1994-08
78.9,151,1994-07
83.5,150,1994-06
84.8,149,1994-05
84.8,148,1994-04
87.1,147,1994-03
84.5,146,1994-02
82.1,145,1994-01
87.4,144,1993-12
87.4,143,1993-11
84.3,142,1993-10
81.4,141,1993-09
79.4,140,1993-08
83.2,139,1993-07
80.9,138,1993-06
82.9,137,1993-05
84.5,136,1993-04
86.3,135,1993-03
80.5,134,1993-02
85.7,133,1993-01
90.3,132,1992-12
87.7,131,1992-11
82,130,1992-10
82.9,129,1992-09
81.1,128,1992-08
83.8,127,1992-07
82.7,126,1992-06
83.3,125,1992-05
82.4,124,1992-04
80.6,123,1992-03
80.5,122,1992-02
82.4,121,1992-01
90.7,120,1991-12
86.5,119,1991-11
81.4,118,1991-10
83,117,1991-09
79.8,116,1991-08
78.7,115,1991-07
81,114,1991-06
86.6,113,1991-05
84.3,112,1991-04
79.9,111,1991-03
81.6,110,1991-02
84.1,109,1991-01
86,108,1990-12
83.5,107,1990-11
83.5,106,1990-10
83.2,105,1990-09
82.3,104,1990-08
82.7,103,1990-07
80.7,102,1990-06
81.1,101,1990-05
81.2,100,1990-04
77.6,99,1990-03
80.9,98,1990-02
83.8,97,1990-01
85.5,96,1989-12
86,95,1989-11
83.7,94,1989-10
84.4,93,1989-09
83.7,92,1989-08
82.6,91,1989-07
83.3,90,1989-06
86.6,89,1989-05
86.4,88,1989-04
87.6,87,1989-03
78.3,86,1989-02
84.1,85,1989-01
81.1,84,1988-12
86.8,83,1988-11
83.2,82,1988-10
84.5,81,1988-09
84.9,80,1988-08
84,79,1988-07
81.6,78,1988-06
82.7,77,1988-05
84.5,76,1988-04
85.3,75,1988-03
83.2,74,1988-02
84.3,73,1988-01
84.6,72,1987-12
84,71,1987-11
82.1,70,1987-10
82.5,69,1987-09
83.6,68,1987-08
81.3,67,1987-07
80.7,66,1987-06
84.6,65,1987-05
82.8,64,1987-04
83.2,63,1987-03
79,62,1987-02
86,61,1987-01
85.2,60,1986-12
84.1,59,1986-11
85,58,1986-10
84.4,57,1986-09
77.3,56,1986-08
79.9,55,1986-07
82.5,54,1986-06
81.8,53,1986-05
85.3,52,1986-04
86.6,51,1986-03
78.4,50,1986-02
83.9,49,1986-01
86.2,48,1985-12
85,47,1985-11
84.7,46,1985-10
83.1,45,1985-09
80.4,44,1985-08
83.1,43,1985-07
79.4,42,1985-06
83.4,41,1985-05
83.8,40,1985-04
83.9,39,1985-03
84,38,1985-02
81.5,37,1985-01
86.7,36,1984-12
86.3,35,1984-11
82.5,34,1984-10
83.9,33,1984-09
84.1,32,1984-08
83.7,31,1984-07
83.1,30,1984-06
84.1,29,1984-05
83.8,28,1984-04
85.4,27,1984-03
86,26,1984-02
85.8,25,1984-01
88,24,1983-12
85.2,23,1983-11
82.5,22,1983-10
84.4,21,1983-09
81.2,20,1983-08
83.7,19,1983-07
82.4,18,1983-06
83.2,17,1983-05
77.2,16,1983-04
76,15,1983-03
78,14,1983-02
85.6,13,1983-01
87.7,12,1982-12
83.4,11,1982-11
81.5,10,1982-10
80.6,9,1982-09
80.4,8,1982-08
77.6,7,1982-07
80.3,6,1982-06
83.2,5,1982-05
85.9,4,1982-04
82.3,3,1982-03
79.5,2,1982-02
81.2,1,1982-01
