rh_mean_daily,_id,rh_mean_daily_minimum,rh_means_daily_maximum,year
76.7,38,57.2,90.4,2019
79.6,37,61.2,92.7,2018
82.6,36,65.9,94.5,2017
76,35,58,90.3,2016
76.9,34,58.6,90,2015
78.5,33,59.7,92.2,2014
81.7,32,63.4,95,2013
83.5,31,64.6,96.2,2012
84.5,30,66.9,95.9,2011
82.9,29,63.9,95.3,2010
82.4,28,63.7,94.7,2009
83.5,27,66.1,95,2008
84.5,26,67.4,95.7,2007
84.6,25,66.7,95.9,2006
83.1,24,63.5,95.9,2005
83.5,23,64.5,95.8,2004
84.3,22,65.7,96.4,2003
82.5,21,62.7,95.2,2002
84.3,20,66.3,96.5,2001
84.7,19,65.8,97,2000
84.2,18,65.3,96.6,1999
82.5,17,64,94.9,1998
79.6,16,59.6,92.4,1997
83.3,15,64,95.2,1996
84.5,14,66.2,96,1995
83.3,13,64.5,95,1994
83.7,12,64.7,95.3,1993
83.3,11,64.2,95.9,1992
83.1,10,64.3,95.1,1991
82.2,9,62.2,94.9,1990
84.3,8,64.9,96.5,1989
83.9,7,65.5,95.8,1988
82.9,6,64.1,95.2,1987
82.9,5,63.6,94.9,1986
83.2,4,64.1,95.3,1985
84.6,3,66.5,95.9,1984
82.3,2,63.6,94.7,1983
81.9,1,63.1,94.2,1982
